((1.0, 0), 0.013333333333333332)
((0.6666666666666666, 0.36666666666666664), 0.0014814814814814816)
((0.6, 0.45), 0.0044444444444444444)
((0.5, 0), 0.03555555555555555)
((0.25, 0.0), 0.0029629629629629632)
((0.33333333333333337, 0.25), 0.010370370370370368)
((0.33333333333333337, 0.16666666666666666), 0.010370370370370372)
((0.14285714285714285, 0.07142857142857142), 0.0059259259259259265)
((0.33333333333333337, 0.2361111111111111), 0.0029629629629629632)
((0.5714285714285714, 0.2619047619047619), 0.0014814814814814816)
((0.2222222222222222, 0.16666666666666666), 0.0014814814814814816)
((0.0, 0.0), 0.11851851851851851)
((0.0, 0.5), 0.010370370370370372)
((0.2, 0.1), 0.0059259259259259265)
((0.5714285714285714, 0.23809523809523808), 0.0014814814814814816)
((0.2857142857142857, 0.16666666666666666), 0.0014814814814814816)
((0.25, 0.19642857142857142), 0.0029629629629629632)
((0.375, 0.30357142857142855), 0.0059259259259259265)
((0.25, 0.125), 0.0044444444444444444)
((0.2857142857142857, 0.09523809523809523), 0.0044444444444444444)
((0.5, 0.3), 0.0014814814814814816)
((0.6, 0.4), 0.0014814814814814816)
((0.125, 0.125), 0.0059259259259259265)
((0.33333333333333337, 0.19444444444444445), 0.0029629629629629632)
((0.33333333333333337, 0.18055555555555555), 0.0014814814814814816)
((0.2, 0.2), 0.01925925925925926)
((0.33333333333333337, 0.3333333333333333), 0.0162962962962963)
((0.4, 0.35), 0.008888888888888889)
((0.14285714285714285, 0.16666666666666666), 0.0059259259259259265)
((0.2857142857142857, 0.23809523809523808), 0.008888888888888889)
((0.25, 0.25), 0.02518518518518519)
((0.33333333333333337, 0.0), 0.0059259259259259265)
((0.2222222222222222, 0.19444444444444445), 0.0029629629629629632)
((0.4285714285714286, 0.35714285714285715), 0.0044444444444444444)
((0.2857142857142857, 0.2857142857142857), 0.007407407407407407)
((0.25, 0.23214285714285715), 0.013333333333333332)
((0.2857142857142857, 0.21428571428571427), 0.007407407407407407)
((0.0, 0.16666666666666666), 0.01925925925925926)
((0.4285714285714286, 0.30952380952380953), 0.0029629629629629632)
((0.5, 0.2857142857142857), 0.0029629629629629632)
((0.6, 0.3), 0.0029629629629629632)
((0.375, 0.26785714285714285), 0.0029629629629629632)
((0.25, 0.17857142857142858), 0.0029629629629629632)
((0.5, 0.4166666666666667), 0.0044444444444444444)
((0.16666666666666669, 0.23333333333333334), 0.0014814814814814816)
((0.5, 0.5), 0.017777777777777774)
((0.14285714285714285, 0.11904761904761904), 0.0029629629629629632)
((0.375, 0.19642857142857142), 0.0029629629629629632)
((0.33333333333333337, 0.1), 0.0014814814814814816)
((0.33333333333333337, 0.3), 0.017777777777777778)
((0.4285714285714286, 0.21428571428571427), 0.0029629629629629632)
((0.16666666666666669, 0.16666666666666666), 0.007407407407407407)
((0.6, 0.35), 0.0014814814814814816)
((0.0, 0.16071428571428573), 0.0044444444444444444)
((0.1111111111111111, 0.20833333333333334), 0.0014814814814814816)
((0.0, 0.125), 0.011851851851851853)
((0.0, 0.14285714285714285), 0.01925925925925926)
((0.0, 0.1527777777777778), 0.0029629629629629632)
((0.125, 0.10714285714285714), 0.007407407407407407)
((0.125, 0.21428571428571427), 0.0029629629629629632)
((0.0, 0.09722222222222222), 0.01037037037037037)
((0.0, 0.09523809523809523), 0.010370370370370368)
((0.0, 0.08333333333333333), 0.03555555555555555)
((0.0, 0.08928571428571429), 0.008888888888888889)
((0.0, 0.10714285714285714), 0.007407407407407407)
((0.1111111111111111, 0.1527777777777778), 0.007407407407407407)
((0.0, 0.023809523809523808), 0.007407407407407407)
((0.0, 0.06944444444444445), 0.011851851851851853)
((0.0, 0.07142857142857142), 0.02814814814814815)
((0.0, 0.1), 0.0059259259259259265)
((0.0, 0.1388888888888889), 0.0059259259259259265)
((0.0, 0.06666666666666667), 0.0044444444444444444)
((0.0, 0.11904761904761904), 0.011851851851851853)
((0.0, 0.2), 0.0014814814814814816)
((0.1111111111111111, 0.06944444444444445), 0.0029629629629629632)
((0.6666666666666666, 0.16666666666666666), 0.0014814814814814816)
((0.8333333333333333, 0.36666666666666664), 0.0014814814814814816)
((1.0, 0.5), 0.0044444444444444444)
((0.8, 0.4), 0.0014814814814814816)
((0.7777777777777778, 0.19444444444444445), 0.0014814814814814816)
((0.8333333333333333, 0.03333333333333333), 0.0014814814814814816)
((0.25, 0.3333333333333333), 0.0059259259259259265)
((0.5, 0.16666666666666666), 0.0014814814814814816)
((0.4285714285714286, 0.23809523809523808), 0.0014814814814814816)
((0.33333333333333337, 0.125), 0.0014814814814814816)
((0.33333333333333337, 0.26666666666666666), 0.0014814814814814816)
((0.33333333333333337, 0.2638888888888889), 0.0014814814814814816)
((0.2857142857142857, 0.2619047619047619), 0.007407407407407407)
((0.2857142857142857, 0.19047619047619047), 0.0014814814814814816)
((0.33333333333333337, 0.20833333333333334), 0.0014814814814814816)
((0.4, 0.25), 0.0044444444444444444)
((0.375, 0.25), 0.0029629629629629632)
((0.6666666666666666, 0.3333333333333333), 0.0014814814814814816)
((0.4444444444444444, 0.3611111111111111), 0.011851851851851853)
((0.5, 0.17857142857142858), 0.0014814814814814816)
((0.25, 0.16666666666666666), 0.0044444444444444444)
((0.4, 0.4), 0.0044444444444444444)
((0.4444444444444444, 0.25), 0.0044444444444444444)
((0.6, 0.2), 0.0014814814814814816)
((0.4285714285714286, 0.38095238095238093), 0.0014814814814814816)
((0.16666666666666669, 0.2), 0.0014814814814814816)
((0.5, 0.23333333333333334), 0.0014814814814814816)
((0.33333333333333337, 0.1388888888888889), 0.0014814814814814816)
((0.2, 0.25), 0.0029629629629629632)
((0.25, 0.26785714285714285), 0.0014814814814814816)
((0.0, 0.05), 0.0014814814814814816)
((0.5, 0.4107142857142857), 0.0029629629629629632)
((0.375, 0.17857142857142858), 0.0044444444444444444)
((0.2, 0.15), 0.007407407407407407)
((0.1111111111111111, 0.25), 0.0029629629629629632)
((0.1111111111111111, 0.16666666666666666), 0.008888888888888889)
((0.125, 0.32142857142857145), 0.0014814814814814816)
((0.125, 0.17857142857142858), 0.0059259259259259265)
((0.1111111111111111, 0.19444444444444445), 0.007407407407407407)
((0.14285714285714285, 0.23809523809523808), 0.0029629629629629632)
((0.0, 0.1111111111111111), 0.008888888888888887)
((0.0, 0.13333333333333333), 0.0044444444444444444)
((0.0, 0.19642857142857142), 0.0014814814814814816)
((0.0, 0.017857142857142856), 0.0029629629629629632)
((0.0, 0.23214285714285715), 0.0014814814814814816)
((0.125, 0.19642857142857142), 0.0044444444444444444)
((0.1111111111111111, 0.1388888888888889), 0.0029629629629629632)
((0.0, 0.18055555555555555), 0.0014814814814814816)
((1.0, 0.35), 0.0014814814814814816)
((1.0, 0.3), 0.007407407407407407)
((0.75, 0.25), 0.0014814814814814816)
((1.0, 0.03571428571428571), 0.0014814814814814816)
((0.375, 0.16071428571428573), 0.0014814814814814816)
((0.2857142857142857, 0.35714285714285715), 0.0044444444444444444)
((0.14285714285714285, 0.14285714285714285), 0.0044444444444444444)
((0.375, 0.2857142857142857), 0.0044444444444444444)
((0.125, 0.14285714285714285), 0.0044444444444444444)
((0.2857142857142857, 0.30952380952380953), 0.0044444444444444444)
((0.2857142857142857, 0.11904761904761904), 0.0014814814814814816)
((0.33333333333333337, 0.13333333333333333), 0.0014814814814814816)
((0.16666666666666669, 0.0), 0.0014814814814814816)
((0.6666666666666666, 0.5), 0.0029629629629629632)
((0.2, 0.05), 0.0029629629629629632)
((0.2857142857142857, 0.047619047619047616), 0.0014814814814814816)
((0.5, 0.13333333333333333), 0.0029629629629629632)
((0.2857142857142857, 0.14285714285714285), 0.0014814814814814816)
((0.2222222222222222, 0.06944444444444445), 0.0014814814814814816)
((0.5555555555555556, 0.125), 0.0014814814814814816)
((0.8, 0.3), 0.0014814814814814816)
((0.5, 0.25), 0.0044444444444444444)
((0.33333333333333337, 0.5), 0.0014814814814814816)
((0.0, 0.03571428571428571), 0.0044444444444444444)
((0.1111111111111111, 0.09722222222222222), 0.0014814814814814816)
((0.2222222222222222, 0.20833333333333334), 0.0044444444444444444)
((0.0, 0.047619047619047616), 0.008888888888888889)
((0.0, 0.027777777777777776), 0.0029629629629629632)
((0.0, 0.05555555555555555), 0.007407407407407407)
((0.0, 0.041666666666666664), 0.0014814814814814816)
((0.125, 0.23214285714285715), 0.0014814814814814816)
((0.14285714285714285, 0.19047619047619047), 0.0044444444444444444)
((0.33333333333333337, 0.2222222222222222), 0.0014814814814814816)
((0.2222222222222222, 0.1527777777777778), 0.0029629629629629632)
((0.5, 0.125), 0.0014814814814814816)
((0.4444444444444444, 0.3055555555555556), 0.0044444444444444444)
((0.25, 0.10714285714285714), 0.0014814814814814816)
((0.125, 0.16071428571428573), 0.0029629629629629632)
((0.4285714285714286, 0.2857142857142857), 0.0029629629629629632)
((0.5, 0.4), 0.0014814814814814816)
((0.16666666666666669, 0.03333333333333333), 0.0014814814814814816)
((0.1111111111111111, 0.125), 0.0014814814814814816)
((0.1111111111111111, 0.08333333333333333), 0.0029629629629629632)
((0.0, 0.3), 0.0014814814814814816)
((0.6666666666666666, 0.2), 0.0014814814814814816)
((0.8, 0.45), 0.0014814814814814816)
((0.75, 0.5), 0.0014814814814814816)
((0.625, 0.25), 0.0014814814814814816)
((0.25, 0.14285714285714285), 0.0029629629629629632)
((0.375, 0.23214285714285715), 0.0014814814814814816)
((0.33333333333333337, 0.2777777777777778), 0.0029629629629629632)
((0.33333333333333337, 0.1111111111111111), 0.0014814814814814816)
((0.4285714285714286, 0.2619047619047619), 0.0014814814814814816)
((0.14285714285714285, 0.09523809523809523), 0.0029629629629629632)
((0.16666666666666669, 0.13333333333333333), 0.0014814814814814816)
((0.25, 0.21428571428571427), 0.0014814814814814816)
((0.1111111111111111, 0.2361111111111111), 0.0014814814814814816)
((0.0, 0.19444444444444445), 0.0014814814814814816)
((0.0, 0.2619047619047619), 0.0014814814814814816)
