vill_no,emd,sc,ho
1,0.10096398517516114,0.75,0.625
2,0.05967011440675938,0.5,0.5
3,0.06244189371551146,0.5625,0.5625
4,0.045661825822178856,0.5625,0.75
5,0.07530810721710357,0.5625,0.6875
6,0.07952352991313633,0.5,0.5625
7,0.14160842174018887,0.75,0.6875
8,0.09448679352194111,0.25,0.3125
9,0.13210589058606217,0.8125,0.6875
10,0.17086097206330278,0.6875,0.625
11,0.13412408078918425,0.875,0.5625
12,0.11970452544165744,1,0.5625
14,0.14374906203498244,0.8125,0.5
15,0.10554697103478128,0.875,0.4375
16,0.1301123119322152,0.75,0.625
17,0.1066039791451801,0.8125,0.5625
18,0.10452098513387403,0.5625,0.625
19,0.10319266558960784,0.4375,0.5625
20,0.052083416132271076,0.375,0.5
21,0.09374957884350257,0.5,0.6875
23,0.054560358490768145,0.5625,0.625
24,0.10188402852227416,0.6875,0.5625
25,0.09794351364411047,0.75,0.625
26,0.10205168078316766,0.5,0.6875
27,0.09715143583333445,0.875,0.8125
28,0.0948793482559637,0.875,0.625
29,0.12404906894831115,1,0.375
30,0.1468389125831566,0.8125,0.4375
31,0.14116705021130807,0.625,0.625
32,0.1341106580960822,1,0.1875
33,0.12366250600263173,0.8125,0.5625
34,0.14579524133694213,0.3125,0.5
35,0.14714901580413103,0.8125,0.625
36,0.1303236982188133,0.875,0.5625
37,0.15580551426931338,0.8125,0.5625
38,0.0883108463808005,0.6875,0.75
39,0.11320282455413318,0.875,0.5
40,0.11299531746606449,0.75,0.625
41,0.11907662146803917,0.8125,0.625
42,0.136235581561535,0.875,0.6875
43,0.1239943050717718,0.875,0.4375
44,0.12937137261642423,0.625,0.5625
45,0.10376906560504327,0.4375,0.5625
46,0.1172688626606277,0.8125,0.625
47,0.13296600756263308,0.875,0.6875
48,0.13373359513316307,0.8125,0.625
49,0.13065111607200722,0.75,0.5625
50,0.16111224006052047,0.75,0.625
51,0.18119030625536162,0.875,0.5625
52,0.16300887561335928,0.875,0.6875
53,0.13626608219116756,0.125,0.5
54,0.16521950970442664,0.0625,0.5
55,0.12147650397111556,0.625,0.5
56,0.11806759896062076,0.875,0.5
57,0.11118209912531683,0.75,0.5625
58,0.11089074619188735,0.625,0.5
59,0.11832905211554078,0.875,0.625
60,0.08703968054070539,0.75,0.6875
61,0.1477721954368201,0.8125,0.75
62,0.1293306190989908,0.75,0.625
63,0.11814746322971068,0.6875,0.625
64,0.11046572909581574,0.8125,0.75
65,0.12698322085002825,0.875,0.5
66,0.11255947219457113,0.6875,0.625
67,0.15596518845813787,0.9375,0.5625
68,0.1289323924961972,0.8125,0.625
69,0.1566822316335162,0.75,0.625
70,0.13514434062312602,0.875,0.6875
71,0.13472114168595686,0.875,0.5625
72,0.10152905474816701,0.75,0.625
73,0.1579480818325099,0.875,0.625
74,0.11638063503345328,0.75,0.625
75,0.16012943039241365,0.875,0.6875
76,0.1022166734490471,0.8125,0.5625
77,0.12225790137779828,0.75,0.75
