vill_no,emd,sc,ho
1,0.1292514069557618,0.75,0.75
2,0.07161651166310416,0.5,0.5
3,0.0783099793871975,0.5625,0.5625
4,0.05592993775384482,0.5625,0.75
5,0.09384520519040498,0.5625,0.6875
6,0.09507278406027672,0.5,0.5625
7,0.17855613453328079,0.9375,0.5
8,0.12007474184175598,0.25,0.3125
9,0.1610519233735478,0.8125,0.6875
10,0.21271997629200778,0.875,0.625
11,0.16081122519373636,0.875,0.4375
12,0.15672532722980928,1,0.5625
14,0.18460763788450346,1,0.25
15,0.12760106223789644,1,0.5
16,0.16338659529926958,0.8125,0.5625
17,0.14135070674605077,0.8125,0.5625
18,0.134366748934209,0.5625,0.625
19,0.13138691148764098,0.4375,0.5625
20,0.0673778230294678,0.375,0.5
21,0.11971888586147206,0.5,0.625
23,0.06850790721902716,0.5625,0.625
24,0.12509027086361282,0.875,0.5
25,0.12747366578541292,0.75,0.5625
26,0.12418109452711193,0.5,0.6875
27,0.11875987989589502,0.875,0.8125
28,0.11835641183725555,0.875,0.625
29,0.15649020028870492,1,0.0625
30,0.16860946627952822,0.875,0.4375
31,0.18280736949981358,0.125,0.375
32,0.17817362557728875,1,0.1875
33,0.15638517665092894,0.875,0.6875
34,0.1717239145011073,0.3125,0.5
35,0.18364773917597552,0.875,0.625
36,0.15985226305700723,1,0.375
37,0.18494259505237418,0.875,0.5
38,0.11493187347874241,0.6875,0.75
39,0.14205362556381773,0.9375,0.4375
40,0.1392368181342963,0.75,0.5625
41,0.1492361990587975,1,0.25
42,0.1739037549278227,0.9375,0.5625
43,0.15508846197492757,0.9375,0.4375
44,0.16142468656931205,0.3125,0.3125
45,0.13158202008344794,0.3125,0.4375
46,0.14364249948961424,0.9375,0.5625
47,0.16031361745254483,1,0.5
48,0.1689680200093371,1,0.5
49,0.1646089062644106,1,0.3125
50,0.19915606249125953,0.9375,0.5
51,0.2171261506405154,1,0.4375
52,0.19197220510201038,0.9375,0.6875
53,0.17739865007578615,0.375,0.625
54,0.2204964618944572,0.0625,0.5
55,0.15791761546684183,0.5625,0.5625
56,0.14457856059716287,0.9375,0.5
57,0.14331519381680494,1,0.3125
58,0.14333635474711864,0.625,0.5
59,0.14808858502057512,0.9375,0.5625
60,0.11057287332448558,0.75,0.625
61,0.1731831100332729,0.8125,0.75
62,0.17386659243445057,1,0.5
63,0.15398593788061588,1,0.5
64,0.1426153991303195,0.875,0.75
65,0.15326203156164991,0.9375,0.5625
66,0.13695200156545065,0.6875,0.625
67,0.18530522170623723,1,0.5
68,0.14915481374535658,0.8125,0.625
69,0.1912448209805455,1,0.5625
70,0.16242776113569898,1,0.625
71,0.15453838399058872,0.9375,0.5625
72,0.1272330760530718,0.6875,0.625
73,0.193200305781958,1,0.4375
74,0.14711199061096755,0.875,0.5625
75,0.1856095600843744,0.9375,0.75
76,0.12376087838804029,0.875,0.5625
77,0.1523713234954602,0.875,0.6875
